Prefix	Species name
ENSCAF	Canis lupus familiaris (Dog - Boxer)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
ENSMPU	Mustela putorius furo (Ferret)
ENSGWI	Gouania willdenowi (Blunt-snouted clingfish)
ENSVKK	Varanus komodoensis (Komodo dragon)
ENSKMA	Kryptolebias marmoratus (Mangrove rivulus)
MGP_NODShiLtJ_	Mus musculus (Mouse NOD/ShiLtJ)
ENSCMM	Cairina moschata domestica (Muscovy Duck (domestic type))
ENSDNO	Dasypus novemcinctus (Armadillo)
ENSMLE	Mandrillus leucophaeus (Drill)
ENSANA	Aotus nancymaae (Ma's night monkey)
ENSAPO	Acanthochromis polyacanthus (Spiny chromis)
ENSCCR	Cyprinus carpio carpio (Common carp)
ENSDLA	Dicentrarchus labrax (European seabass)
